id_sample,plot,sample_name,repetition,genotype,experiment,season,treatment_1,measurment,sampling_identifier
45_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,45,C,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
45_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,45,D,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
46_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,46,A,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
46_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,46,B,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
46_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,46,C,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
46_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,46,D,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
47_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,47,A,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
47_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,47,B,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
47_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,47,C,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
47_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,47,D,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
48_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,48,A,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
48_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,48,B,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
48_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,48,C,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
48_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,48,D,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
49_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,49,A,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
49_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,49,B,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
49_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,49,C,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
49_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,49,D,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
50_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,50,A,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
50_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,50,B,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
50_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,50,C,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
50_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,50,D,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
51_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,51,A,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
51_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,51,B,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
51_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,51,C,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
51_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,51,D,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
52_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,52,A,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
52_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,52,B,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
52_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,52,C,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
52_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,52,D,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
53_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,53,A,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
53_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,53,B,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
53_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,53,C,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
53_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,53,D,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
54_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,54,A,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
54_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,54,B,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
54_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,54,C,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
54_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,54,D,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
55_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,55,A,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
55_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,55,B,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
55_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,55,C,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
55_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,55,D,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
56_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,56,A,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
56_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,56,B,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
56_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,56,C,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
56_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,56,D,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
57_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,57,A,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
57_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,57,B,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
57_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,57,C,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
57_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,57,D,2,PI594451,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
58_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,58,A,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
58_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,58,B,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
58_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,58,C,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
58_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,58,D,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
59_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,59,A,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
59_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,59,B,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
59_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,59,C,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
59_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,59,D,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
60_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,60,A,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
60_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,60,B,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
60_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,60,C,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
60_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,60,D,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
61_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,61,A,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
61_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,61,B,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
61_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,61,C,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
61_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,61,D,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
62_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,62,A,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
62_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,62,B,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
62_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,62,C,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
62_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,62,D,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
63_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,63,A,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
63_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,63,B,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
63_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,63,C,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
63_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,63,D,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
64_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,64,A,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
64_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,64,B,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
64_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,64,C,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
64_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,64,D,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
65_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,65,A,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
65_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,65,B,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
65_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,65,C,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
65_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,65,D,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
66_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,66,A,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
66_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,66,B,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
66_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,66,C,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
66_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,66,D,9,PI39528B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
67_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,67,A,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
67_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,67,B,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
67_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,67,C,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
67_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,67,D,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
68_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,68,A,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
68_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,68,B,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
68_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,68,C,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
68_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,68,D,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
69_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,69,A,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
69_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,69,B,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
69_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,69,C,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
69_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,69,D,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
70_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,70,A,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
70_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,70,B,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
70_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,70,C,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
70_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,70,D,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
71_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,71,A,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
71_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,71,B,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
71_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,71,C,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
71_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,71,D,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
72_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,72,A,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
72_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,72,B,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
72_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,72,C,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
72_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,72,D,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
73_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,73,A,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
73_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,73,B,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
73_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,73,C,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
73_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,73,D,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
74_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,74,A,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
74_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,74,B,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
74_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,74,C,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
74_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,74,D,23,LD-07-3395bf,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
75_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,75,A,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
75_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,75,B,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
75_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,75,C,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
75_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,75,D,8,PI6548362,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
